epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,76.035,0.38042,0.85,1,0.38541,0.000469982,0.000469982,0.000469982
2,145.493,0.03579,0.55,1,2.36692,0.000927579,0.000927579,0.000927579
3,210.698,0.07368,0.54167,1,4.51309,0.00136631,0.00136631,0.00136631
4,271.438,0.12761,0.51667,1,2.83891,0.00134412,0.00134412,0.00134412
5,362.472,0.09843,0.64167,1,2.12493,0.00131582,0.00131582,0.00131582
6,473.977,0.05391,0.65,1,2.48077,0.00128753,0.00128753,0.00128753
7,553.416,0.09952,0.525,1,3.43865,0.00125923,0.00125923,0.00125923
8,619.495,0.05265,0.66667,1,1.81575,0.00123094,0.00123094,0.00123094
9,717.543,0.0338,0.55833,1,3.24228,0.00120265,0.00120265,0.00120265
10,799.019,0.0245,0.55833,1,3.51445,0.00117435,0.00117435,0.00117435
11,864.245,0.03905,0.53333,1,4.10319,0.00114606,0.00114606,0.00114606
12,925.808,0.04048,0.60833,1,1.80194,0.00111776,0.00111776,0.00111776
13,996.75,0.01463,0.61667,1,2.28201,0.00108947,0.00108947,0.00108947
14,1134.41,0.01758,0.73333,1,1.18055,0.00106118,0.00106118,0.00106118
15,1242.12,0.03084,0.39167,1,8.50802,0.00103288,0.00103288,0.00103288
16,1336.56,0.02381,0.63333,1,1.84052,0.00100459,0.00100459,0.00100459
17,1428.08,0.0251,0.60833,1,2.22561,0.000976293,0.000976293,0.000976293
18,1506.25,0.01609,0.675,1,1.3789,0.000947999,0.000947999,0.000947999
19,1576.84,0.01321,0.76667,1,0.93827,0.000919704,0.000919704,0.000919704
20,1663.48,0.01498,0.59167,1,2.50822,0.00089141,0.00089141,0.00089141
21,1737.93,0.02281,0.675,1,1.63673,0.000863116,0.000863116,0.000863116
22,1815.06,0.00711,0.65,1,1.7291,0.000834822,0.000834822,0.000834822
23,1900.45,0.01157,0.575,1,2.70936,0.000806528,0.000806528,0.000806528
24,1995.47,0.01638,0.59167,1,2.8576,0.000778233,0.000778233,0.000778233
25,2071.39,0.00586,0.625,1,2.49748,0.000749939,0.000749939,0.000749939
26,2164.47,0.00627,0.575,1,3.25125,0.000721645,0.000721645,0.000721645
27,2280.46,0.01195,0.625,1,2.19625,0.000693351,0.000693351,0.000693351
28,2406.89,0.00967,0.66667,1,1.76813,0.000665057,0.000665057,0.000665057
29,2487.8,0.00638,0.65833,1,1.77549,0.000636762,0.000636762,0.000636762
30,2585.01,0.00871,0.56667,1,2.78819,0.000608468,0.000608468,0.000608468
31,2716.8,0.00334,0.6,1,2.42858,0.000580174,0.000580174,0.000580174
32,2850.24,0.0034,0.64167,1,2.13725,0.00055188,0.00055188,0.00055188
33,2981.6,0.00265,0.64167,1,2.33089,0.000523586,0.000523586,0.000523586
34,3065.55,0.00227,0.65833,1,1.96937,0.000495291,0.000495291,0.000495291
35,3144.16,0.00323,0.63333,1,2.33194,0.000466997,0.000466997,0.000466997
36,3220.91,0.00472,0.61667,1,2.63281,0.000438703,0.000438703,0.000438703
37,3327.59,0.00581,0.625,1,2.64428,0.000410409,0.000410409,0.000410409
38,3463.58,0.00322,0.575,1,3.27717,0.000382115,0.000382115,0.000382115
39,3576.11,0.00871,0.61667,1,2.31128,0.00035382,0.00035382,0.00035382
40,3691.59,0.00732,0.59167,1,2.34526,0.000325526,0.000325526,0.000325526
41,3771.79,0.00394,0.65,1,1.73747,0.000297232,0.000297232,0.000297232
42,3884.13,0.00116,0.61667,1,2.02127,0.000268938,0.000268938,0.000268938
43,4022.68,0.00324,0.6,1,2.38705,0.000240644,0.000240644,0.000240644
44,4161.34,0.0019,0.6,1,2.71931,0.000212349,0.000212349,0.000212349
45,4287.87,0.00147,0.6,1,2.69274,0.000184055,0.000184055,0.000184055
46,4368.07,0.00226,0.61667,1,2.43065,0.000155761,0.000155761,0.000155761
47,4467.53,0.00076,0.58333,1,2.58594,0.000127467,0.000127467,0.000127467
48,4619.15,0.00139,0.575,1,2.73574,9.91726e-05,9.91726e-05,9.91726e-05
49,4732.5,0.0028,0.59167,1,2.60147,7.08784e-05,7.08784e-05,7.08784e-05
50,4841.02,0.00392,0.61667,1,2.36027,4.25842e-05,4.25842e-05,4.25842e-05
