epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,65.612,0.38042,0.85,1,0.38541,0.000469982,0.000469982,0.000469982
2,130.387,0.03579,0.55,1,2.36692,0.000927579,0.000927579,0.000927579
3,194.377,0.07368,0.54167,1,4.51309,0.00136631,0.00136631,0.00136631
4,257.759,0.12761,0.51667,1,2.83891,0.00134412,0.00134412,0.00134412
5,322.322,0.09843,0.64167,1,2.12493,0.00131582,0.00131582,0.00131582
6,385.625,0.05391,0.65,1,2.48077,0.00128753,0.00128753,0.00128753
7,447.392,0.09952,0.525,1,3.43865,0.00125923,0.00125923,0.00125923
8,511.255,0.05265,0.66667,1,1.81575,0.00123094,0.00123094,0.00123094
9,583.974,0.0338,0.55833,1,3.24228,0.00120265,0.00120265,0.00120265
10,655.813,0.0245,0.55833,1,3.51445,0.00117435,0.00117435,0.00117435
11,726.802,0.03905,0.53333,1,4.10319,0.00114606,0.00114606,0.00114606
12,796.761,0.04048,0.60833,1,1.80194,0.00111776,0.00111776,0.00111776
13,867.994,0.01463,0.61667,1,2.28201,0.00108947,0.00108947,0.00108947
14,938.422,0.01758,0.73333,1,1.18055,0.00106118,0.00106118,0.00106118
15,1008.06,0.03084,0.39167,1,8.50802,0.00103288,0.00103288,0.00103288
16,1077.88,0.02381,0.63333,1,1.84052,0.00100459,0.00100459,0.00100459
17,1148.34,0.0251,0.60833,1,2.22561,0.000976293,0.000976293,0.000976293
18,1219.96,0.01609,0.675,1,1.3789,0.000947999,0.000947999,0.000947999
19,1300.25,0.01321,0.76667,1,0.93827,0.000919704,0.000919704,0.000919704
20,1374.24,0.01498,0.59167,1,2.50822,0.00089141,0.00089141,0.00089141
21,1446.24,0.02281,0.675,1,1.63673,0.000863116,0.000863116,0.000863116
22,1520.99,0.00711,0.65,1,1.7291,0.000834822,0.000834822,0.000834822
23,1624.81,0.01157,0.575,1,2.70936,0.000806528,0.000806528,0.000806528
24,1726.23,0.01638,0.59167,1,2.8576,0.000778233,0.000778233,0.000778233
25,1828.49,0.00586,0.625,1,2.49748,0.000749939,0.000749939,0.000749939
26,1924.84,0.00627,0.575,1,3.25125,0.000721645,0.000721645,0.000721645
27,2035.14,0.01195,0.625,1,2.19625,0.000693351,0.000693351,0.000693351
28,2150.59,0.00967,0.66667,1,1.76813,0.000665057,0.000665057,0.000665057
29,2271.58,0.00638,0.65833,1,1.77549,0.000636762,0.000636762,0.000636762
30,2371.42,0.00871,0.56667,1,2.78819,0.000608468,0.000608468,0.000608468
31,2435.26,0.00334,0.6,1,2.42858,0.000580174,0.000580174,0.000580174
32,2498.84,0.0034,0.64167,1,2.13725,0.00055188,0.00055188,0.00055188
33,2561.44,0.00265,0.64167,1,2.33089,0.000523586,0.000523586,0.000523586
34,2624.07,0.00227,0.65833,1,1.96937,0.000495291,0.000495291,0.000495291
35,2686.86,0.00323,0.63333,1,2.33194,0.000466997,0.000466997,0.000466997
36,2749.43,0.00472,0.61667,1,2.63281,0.000438703,0.000438703,0.000438703
37,2811.88,0.00581,0.625,1,2.64428,0.000410409,0.000410409,0.000410409
38,2875.89,0.00322,0.575,1,3.27717,0.000382115,0.000382115,0.000382115
39,2938.67,0.00871,0.61667,1,2.31128,0.00035382,0.00035382,0.00035382
40,3001.58,0.00732,0.59167,1,2.34526,0.000325526,0.000325526,0.000325526
41,3064.73,0.00394,0.65,1,1.73747,0.000297232,0.000297232,0.000297232
42,3126.8,0.00116,0.61667,1,2.02127,0.000268938,0.000268938,0.000268938
43,3189.48,0.00324,0.6,1,2.38705,0.000240644,0.000240644,0.000240644
44,3254.71,0.0019,0.6,1,2.71931,0.000212349,0.000212349,0.000212349
45,3317.52,0.00147,0.6,1,2.69274,0.000184055,0.000184055,0.000184055
46,3380.96,0.00226,0.61667,1,2.43065,0.000155761,0.000155761,0.000155761
47,3444.15,0.00076,0.58333,1,2.58594,0.000127467,0.000127467,0.000127467
48,3506.92,0.00139,0.575,1,2.73574,9.91726e-05,9.91726e-05,9.91726e-05
49,3570.04,0.0028,0.59167,1,2.60147,7.08784e-05,7.08784e-05,7.08784e-05
50,3633.29,0.00392,0.61667,1,2.36027,4.25842e-05,4.25842e-05,4.25842e-05
